Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t56	10822217100000015e-21	-407830000000693e-23	-2793600099999998e-21	-108900102e-13	6099969999999502e-23	-18996999999992663e-24	-7917935899999996e-21	-10044509999999792e-23	-48176583999999995e-22	-8669187100000004e-21	18940578000000047e-22	3218655900000001e-21	-11542000000067457e-25	2198000000053473e-25
Cr6_Obs_t57	11248893899999999e-21	-4241799999992279e-24	-29042990999999924e-22	-11321886399999994e-21	661077999999979e-22	-20580700000000994e-24	-8183429700000001e-21	-10452619999998961e-23	-5008198799999996e-21	-9015298899999995e-21	19732222000000035e-22	33468058000000065e-22	-11975000000007623e-25	22860000000338797e-26
Cr6_Obs_t58	11692375800000001e-21	-4410799999999697e-24	-30193874999999977e-22	-11770830299999998e-21	715743000000049e-22	-2227129999999688e-23	-8457505800000003e-21	-10877449999999487e-23	-5206278000000006e-21	-9375190399999995e-21	2055643600000005e-21	34800426000000056e-22	-12425999999970733e-25	2375999999979189e-25
Cr6_Obs_t59	12153308199999996e-21	-45855999999815675e-25	-31390348999999855e-22	-12237498999999983e-21	7742200000001405e-23	-2407479999999362e-23	-87404178e-13	-11319649999998437e-23	-5412186899999981e-21	-9749397099999992e-21	21414525000000066e-22	36185632000000147e-22	-12891999999924727e-25	2471999999988615e-25
Cr6_Obs_t60	12632358900000004e-21	-4767600000006497e-24	-32634180000000064e-22	-12722574199999998e-21	8367450000000082e-23	-2599810000000565e-23	-9032426200000001e-21	-11779949999999943e-23	-5626228499999992e-21	-10138474900000005e-21	22307842000000053e-22	3762570300000003e-21	-13376000000071071e-25	2569999999962945e-25
Cr6_Obs_t61	13130219700000015e-21	-4957699999990928e-24	-33927194999999955e-22	-13226761599999998e-21	9035730000000902e-23	-28047900000000105e-24	-9333797499999998e-21	-1225907999999966e-22	-5848716000000004e-21	-10542999500000003e-21	232378010000001e-20	39122746999999965e-22	-13878000000070953e-25	26720000000364876e-26
Cr6_Obs_t62	13647606899999995e-21	-5156100000016056e-24	-3527129400000008e-21	-137507923e-13	9749749999998661e-23	-30232200000005995e-24	-9644804900000008e-21	-1275779000000137e-22	-6079974400000008e-21	-10963567400000004e-21	2420586999999986e-21	4067894199999985e-21	-14399000000076228e-25	27779999998704306e-26
Cr6_Obs_t63	14185262099999992e-21	-5363100000008853e-24	-3666844000000004e-21	-14295424200000016e-21	10512359999999248e-23	-3255860000000855e-23	-9965727600000019e-21	-13276870000001375e-23	-6320339899999999e-21	-11400797200000013e-21	2521357999999991e-21	42296559999999805e-22	-14939000000086901e-25	2888999999955445e-25
Cr6_Obs_t64	14743954600000005e-21	-5577899999983357e-24	-3812066099999999e-21	-14861442199999991e-21	11326639999999441e-23	-35034799999991223e-24	-10296850299999998e-21	-13817139999998838e-23	-6570159999999994e-21	-118553296e-13	2626252600000004e-21	4397796600000016e-21	-1549899999991601e-24	30040000001396727e-26
Cr6_Obs_t65	15324482000000003e-21	-5799999999999165e-24	-39630052000000095e-22	-15449659700000005e-21	12195900000000443e-23	-3766899999999647e-23	-10638464899999989e-21	-14379499999999987e-23	-6829794300000002e-21	-12327828099999997e-21	27354350000000068e-22	4572560999999994e-21	-16080000000054232e-25	3119999999967539e-25
